run_id,experiment,variant,timestamp_unix_ms,endpoint,slow_score,p99_latency_ms,route_weight,state
legacy,single_instance_delay,adaptive_p2c,1780838060723,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,single_instance_delay,adaptive_p2c,1780838061723,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,single_instance_delay,adaptive_p2c,1780838062722,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,single_instance_delay,adaptive_p2c,1780838063723,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,single_instance_delay,adaptive_p2c,1780838064723,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,single_instance_delay,adaptive_p2c,1780838065722,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,single_instance_delay,adaptive_p2c,1780838066722,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,single_instance_delay,adaptive_p2c,1780838067723,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,single_instance_delay,adaptive_p2c,1780838068723,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,single_instance_delay,adaptive_p2c,1780838069723,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,single_instance_delay,adaptive_p2c,1780838070723,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,single_instance_delay,adaptive_p2c,1780838071723,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,single_instance_delay,adaptive_p2c,1780838072723,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,single_instance_delay,adaptive_p2c,1780838073722,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,single_instance_delay,adaptive_p2c,1780838074723,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,single_instance_delay,adaptive_p2c,1780838075722,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,single_instance_delay,adaptive_p2c,1780838076723,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,single_instance_delay,adaptive_p2c,1780838077723,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,single_instance_delay,adaptive_p2c,1780838078723,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,single_instance_delay,adaptive_p2c,1780838079723,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,single_instance_delay,adaptive_p2c,1780838080722,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,single_instance_delay,adaptive_p2c,1780838081723,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,single_instance_delay,adaptive_p2c,1780838082723,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,cpu_throttle,slow_score,1780838084116,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,cpu_throttle,slow_score,1780838085116,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,cpu_throttle,slow_score,1780838086117,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,cpu_throttle,slow_score,1780838087117,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,cpu_throttle,slow_score,1780838088116,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,cpu_throttle,slow_score,1780838089117,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,cpu_throttle,slow_score,1780838090116,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,cpu_throttle,slow_score,1780838091117,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,cpu_throttle,slow_score,1780838092116,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,cpu_throttle,slow_score,1780838093116,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,cpu_throttle,slow_score,1780838094116,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,cpu_throttle,slow_score,1780838095116,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,cpu_throttle,slow_score,1780838096116,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,cpu_throttle,slow_score,1780838097117,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,cpu_throttle,slow_score,1780838098116,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,cpu_throttle,slow_score,1780838099116,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,cpu_throttle,slow_score,1780838100117,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
